food temperature,food flavor,portion size,attentiveness,friendliness,speed of service,tip
0.00409885,0.998592351,0.50129553,0.032967219,0.541828604,0.569223951,12.0
0.282108468,0.459469648,-0.032293213,0.672237431,1.03326485,0.780600726,19.98733911
0.776767409,0.752571046,0.607890142,0.064566126,0.091970989,0.520505854,15.0
0.277897804,0.0732314,0.524065838,0.658514804,-0.013237461,0.4674729,15.00081024
0.014611292,0.250494441,0.807615988,0.516679519,0.77383524,1.014476056,15.0
0.26513572,0.011746402,-0.112729426,0.986280971,1.055884505,0.757010043,20.0
1.026952433,0.558000509,0.731864492,1.041863732,0.172810031,0.405695151,10.95404161
0.551300817,0.668831932,0.462957682,0.463072091,1.070905277,-0.05530359,10.0
0.665801622,0.748693173,0.53302126,0.736739926,0.503867706,0.229992913,23.93104615
0.814518071,0.993652612,-0.105324528,0.940349255,1.018212304,0.279290219,18.03193409
0.675092368,0.257102928,0.484491746,0.70456878,0.277474212,-0.052991598,10.0
0.741998249,-0.01778236,0.98423059,-6.16e-05,0.263205581,-0.048417883,2.0
0.087955651,0.243027727,1.046154789,0.859122694,-0.08860014,0.53273596,10.01849288
0.392449958,-0.118944331,-0.016477567,0.226771104,0.182344296,0.716004035,14.99757172
0.061106808,0.492034589,0.923415109,0.852885821,0.223495855,0.974698312,14.0
0.305176764,0.480660661,0.403191733,-0.033447655,0.73588115,0.555592395,5.093531993
0.539715952,0.091026636,0.049410774,-0.013782,1.088489961,0.721787159,16.03394352
0.776774943,0.298173718,0.771858247,1.01861203,1.032534115,-0.003915669,20.02604344
1.029756172,-0.017602918,0.515592577,0.722899563,0.833831353,0.990362549,12.0
0.523463906,0.080516781,0.803534877,0.272105746,0.70679256,0.519377465,15.0
0.474411318,0.029855106,0.984028987,0.502266707,0.960415936,0.035218672,15.0
0.769097512,0.60108991,0.9505791,0.239074947,0.710310029,0.47494382,20.01564009
-0.104807547,0.249024874,0.962203718,0.736642546,0.064626637,0.519578052,10.0
-0.05477371,0.423454909,1.122510094,0.542690622,0.764230814,0.36270814,10.0
0.836329808,-0.065573253,-0.1051897,1.002776444,0.778948588,0.210915957,18.0
0.554326914,0.676711717,0.734516808,-0.008645608,0.784640795,0.447553156,15.0
0.220400197,-0.018657254,0.044818901,0.266373927,0.993572492,0.956929748,14.96541924
0.230036567,0.547034672,0.698982939,0.705393201,0.000212835,0.232653827,10.0
0.735832844,1.024857703,0.951219867,0.288512667,0.436374405,0.501815979,20.18158568
0.104940273,-0.002909845,0.205348515,0.260498942,0.510865221,0.307600062,10.0809155
0.704562931,0.535927762,-0.045399237,-0.008944386,0.688384597,0.716946125,15.04211354
0.199613683,0.00298838,-0.033258717,0.006778181,0.758368383,0.85614857,15.01254526
0.704626665,0.396928252,0.747373324,0.788914057,0.724782713,0.458882113,18.0
0.310745117,-0.100455733,-0.032999021,0.705356208,0.23356399,-0.015493372,10.0
0.969020336,0.308176476,1.107746439,0.533018691,-0.004716454,0.032815687,15.0
0.25697786,-0.001278828,0.151021899,0.214335022,0.604517695,0.19860834,0.077081231
0.214143274,0.994946969,0.960607637,-0.072623707,0.490314334,0.251982989,10.0
0.24069786,1.026744067,-0.040936255,0.766875974,0.271579174,-0.044438735,10.0
0.728354244,0.474602421,0.662823773,-0.018293157,1.076144686,0.292922284,17.99391421
0.247511978,0.487468443,0.961559622,0.591573171,0.488688764,0.975709393,15.0
0.024616444,0.3011067,0.760896074,0.985287008,0.603932641,0.052847069,18.0
0.157017545,0.556970795,0.446268359,0.0439096,0.788047177,0.265213726,12.50854163
0.266293275,1.038707168,0.267826962,0.051722343,0.143420264,0.990132252,14.96447987
0.049384973,0.477525165,-0.089317666,-0.068648956,-0.038197199,0.941146144,5.0
